,date,open,high,low,close,volume,tic,day
8,2000-01-03,28.855125427246094,29.533344268798828,28.361875534057617,23.115253448486328,8402230,DIS,0
36,2000-01-04,29.594999313354492,31.44468879699707,29.594999313354492,24.46928596496582,16051191,DIS,1
64,2000-01-05,31.198062896728516,32.67781448364258,31.198062896728516,25.48480796813965,19823822,DIS,2
92,2000-01-06,32.49284362792969,32.67781448364258,31.198062896728516,24.46928596496582,7903193,DIS,3
120,2000-01-07,31.198062896728516,31.691312789916992,30.396530151367188,24.082420349121094,6773543,DIS,4
148,2000-01-10,33.54100036621094,35.45234298706055,33.54100036621094,27.757646560668945,33965839,DIS,0
176,2000-01-11,35.390689849853516,36.253875732421875,34.77412414550781,28.04779815673828,20134820,DIS,1
204,2000-01-12,35.45234298706055,35.45234298706055,32.8627815246582,26.06511116027832,13100963,DIS,2
232,2000-01-13,33.35602951049805,34.52750015258789,33.35602951049805,26.9355525970459,8732387,DIS,3
260,2000-01-14,34.342529296875,34.52750015258789,32.9860954284668,25.9683895111084,8151546,DIS,4
288,2000-01-18,33.109405517578125,34.342529296875,32.61615753173828,26.693763732910156,8101774,DIS,1
316,2000-01-19,34.03424835205078,34.465843200683594,33.602657318115234,26.88719367980957,6551343,DIS,2
344,2000-01-20,34.28087615966797,34.9590950012207,32.9860954284668,26.01674461364746,7212063,DIS,3
372,2000-01-21,33.17106246948242,33.17106246948242,32.246219635009766,25.339736938476562,8284136,DIS,4
400,2000-01-24,32.30787658691406,33.54100036621094,31.937938690185547,25.774961471557617,8343031,DIS,0
428,2000-01-25,36.00725173950195,37.48699951171875,36.00725173950195,29.01496124267578,29911201,DIS,1
456,2000-01-26,36.93209457397461,36.93209457397461,35.88393783569336,28.337940216064453,10400710,DIS,2
484,2000-01-27,36.13056182861328,37.117061614990234,36.13056182861328,28.72481346130371,9818449,DIS,3
512,2000-01-28,36.62381362915039,36.993751525878906,35.945594787597656,28.434663772583008,7500963,DIS,4
540,2000-01-31,35.945594787597656,35.945594787597656,35.32903289794922,28.09615707397461,7909072,DIS,0
568,2000-02-01,35.82228088378906,35.945594787597656,35.45234298706055,27.85436248779297,7237202,DIS,1
596,2000-02-02,35.513999938964844,37.48699951171875,35.32903289794922,28.8215274810791,9411353,DIS,2
624,2000-02-03,37.05540466308594,37.98025131225586,37.05540466308594,29.30510711669922,10908160,DIS,3
652,2000-02-04,37.36368942260742,37.73362350463867,36.5004997253418,29.49854850769043,6272985,DIS,4
680,2000-02-07,37.610313415527344,37.91859436035156,37.05540466308594,29.401826858520508,6153573,DIS,0
708,2000-02-08,37.42534255981445,37.42534255981445,36.5004997253418,29.06332015991211,5780233,DIS,1
736,2000-02-09,37.05540466308594,38.4734992980957,36.62381362915039,29.160036087036133,6158338,DIS,2
764,2000-02-10,37.17871856689453,37.36368942260742,36.37718963623047,28.579729080200195,5675925,DIS,3
792,2000-02-11,36.4388427734375,38.10356140136719,36.31553268432617,29.30510711669922,7247035,DIS,4
820,2000-02-14,36.87043762207031,36.87043762207031,36.13056182861328,28.628093719482422,5201622,DIS,0
848,2000-02-15,36.5004997253418,36.68547058105469,34.897438049316406,28.5313777923584,7082717,DIS,1
876,2000-02-16,36.37718963623047,36.74712371826172,36.068904876708984,28.579729080200195,4475215,DIS,2
904,2000-02-17,36.37718963623047,36.37718963623047,35.205718994140625,28.24123764038086,4756310,DIS,3
932,2000-02-18,35.88393783569336,35.88393783569336,34.83578109741211,27.467496871948242,6493867,DIS,4
960,2000-02-22,34.9590950012207,34.9590950012207,32.18456268310547,25.823314666748047,12744146,DIS,1
988,2000-02-23,32.9244384765625,34.157562255859375,32.18456268310547,26.403621673583984,8371718,DIS,2
1016,2000-02-24,33.602657318115234,33.602657318115234,31.99959373474121,25.67824363708496,8338672,DIS,3
1044,2000-02-25,32.61615753173828,32.61615753173828,30.581499099731445,23.985700607299805,8440649,DIS,4
1072,2000-02-28,31.56800079345703,32.49284362792969,31.56800079345703,25.339736938476562,7943639,DIS,0
1100,2000-02-29,32.30787658691406,33.54100036621094,31.814624786376953,26.306901931762695,5506437,DIS,1
1128,2000-03-01,33.54100036621094,34.28087615966797,32.73946762084961,26.838834762573242,7250380,DIS,2
1156,2000-03-02,34.157562255859375,34.157562255859375,33.35602951049805,26.693763732910156,6588241,DIS,3
1184,2000-03-03,34.4041862487793,36.00725173950195,34.4041862487793,28.24123764038086,14559757,DIS,4
1212,2000-03-06,36.00725173950195,36.253875732421875,35.08240509033203,27.85436248779297,7341004,DIS,0
1240,2000-03-07,35.513999938964844,35.88393783569336,34.9590950012207,27.85436248779297,7588140,DIS,1
1268,2000-03-08,35.45234298706055,35.45234298706055,34.4041862487793,27.032270431518555,6294577,DIS,2
1296,2000-03-09,34.465843200683594,35.760623931884766,34.157562255859375,28.04779815673828,5623011,DIS,3
1324,2000-03-10,35.26737594604492,35.26737594604492,34.21921920776367,27.177350997924805,7061936,DIS,4
1352,2000-03-13,34.650814056396484,35.020748138427734,32.554500579833984,27.032270431518555,5247440,DIS,0
1380,2000-03-14,34.28087615966797,34.28087615966797,33.35602951049805,26.403621673583984,5589559,DIS,1
1408,2000-03-15,33.66431427001953,34.465843200683594,33.17106246948242,26.9355525970459,6642980,DIS,2
1436,2000-03-16,34.342529296875,35.020748138427734,33.294376373291016,27.32242202758789,8335124,DIS,3
1464,2000-03-17,34.83578109741211,36.4388427734375,34.09590530395508,28.4830265045166,8753675,DIS,4
1492,2000-03-20,37.17871856689453,38.96675109863281,37.17871856689453,30.514080047607422,16985606,DIS,0
1520,2000-03-21,38.905094146728516,39.52165603637695,38.10356140136719,30.320634841918945,13362088,DIS,1
1548,2000-03-22,39.213375091552734,40.87809371948242,39.213375091552734,31.336156845092773,13725900,DIS,2
1576,2000-03-23,39.953250885009766,41.37134552001953,39.27503204345703,32.15824890136719,8163811,DIS,3
1604,2000-03-24,41.001407623291016,41.18637466430664,40.508155822753906,32.06153106689453,6630411,DIS,4
1632,2000-03-27,40.87809371948242,41.61796951293945,39.459999084472656,32.30331802368164,5797669,DIS,0
1660,2000-03-28,41.18637466430664,41.92625045776367,40.07656478881836,31.674673080444336,7592600,DIS,1
1688,2000-03-29,40.38484573364258,40.6314697265625,39.706626892089844,31.57795524597168,5162494,DIS,2
1716,2000-03-30,40.261531829833984,40.44649887084961,39.213375091552734,31.14273452758789,5418652,DIS,3
1744,2000-03-31,39.706626892089844,40.93975067138672,39.706626892089844,31.916465759277344,5358236,DIS,4
1772,2000-04-03,40.6931266784668,41.309688568115234,40.508155822753906,32.351680755615234,4870654,DIS,0
1800,2000-04-04,41.24803161621094,41.37134552001953,37.856937408447266,31.81974220275879,7049975,DIS,1
1828,2000-04-05,40.19987487792969,40.19987487792969,38.720123291015625,30.949295043945312,5140193,DIS,2
1856,2000-04-06,39.459999084472656,40.6931266784668,39.459999084472656,31.287796020507812,3615509,DIS,3
1884,2000-04-07,39.953250885009766,40.816436767578125,39.953250885009766,31.7230167388916,3298023,DIS,4
1912,2000-04-10,40.44649887084961,40.816436767578125,39.706626892089844,31.964811325073242,3665585,DIS,0
1940,2000-04-11,41.18637466430664,41.92625045776367,41.18637466430664,32.88362503051758,6923365,DIS,1
1968,2000-04-12,41.92625045776367,43.03606414794922,39.459999084472656,30.997638702392578,8414293,DIS,2
1996,2000-04-13,39.52165603637695,40.19987487792969,38.720123291015625,30.368993759155273,5078459,DIS,3
